name;latitude;longitude;type;city;country;country_code
Gasum Arlanda, Halmsjövägen 38;59.61275773893676;17.908721332218004;square_truck_rgb.svg;Sigtuna kommun;Sweden;se
Gasum Borlänge, Gjutargatan 24;60.4735781;15.4121377;square_truck_rgb.svg;Borlänge;Sweden;se
Gasum Bålsta, Björnängsvägen 1;59.5813747;17.4917913;square_construction_rgb.svg;Bålsta;Sweden;se
Gasum Göteborg Gårdsten LNG, Gårdstens Industriväg 6;57.79630927269847;12.028113966612416;square_construction_rgb.svg;Gothenburg;Sweden;se
Gasum Göteborg Tuve, Norra Stenebyvägen 4;57.756128705276055;11.880044722653775;square_truck_rgb.svg;Gothenburg;Sweden;se
Gasum Helsingborg, Transportgatan 2a;56.06579805;12.751978906917188;square_truck_rgb.svg;Helsingborg;Sweden;se
Circle K Järna, Trafikplats Järna;59.087765700000006;17.602356150000006;truck-partner.svg;Södertälje kommun;Sweden;se
Gasum Jönköping, Frysvägen 1;57.6870818;14.1504118;square_truck_rgb.svg;Jönköping;Sweden;se
Gasum Kalmar, Karlsro 103;56.67022877957714;16.275190276452268;square_truck_rgb.svg;Kalmar;Sweden;se
Gasum Karlstad, Bråtebäcksvägen 17;59.40399074132675;13.619657222042159;square_truck_rgb.svg;Alster;Sweden;se
Gasum Kristianstad, Optovägen 1;56.003366941715804;14.108846828565598;square_truck_rgb.svg;Kristianstads kommun;Sweden;se
Gasum Ljungby, Märta Ljungbergsvägen 65;56.8532983;13.9571538;square_truck_rgb.svg;Ljungby;Sweden;se
Gasum Malmö Sunnanå, Mor Marnas Väg 2;55.617239847030945;13.121958130729578;square_truck_rgb.svg;Malmo;Sweden;se
Gasum Mariestad, Sandbäcksvägen 135;58.6852359775457;13.847297445078809;square_truck_rgb.svg;Mariestad;Sweden;se
Gasum Norrköping, Ströbogatan 27;58.6451622;16.1706123549772;square_truck_rgb.svg;Åby;Sweden;se
Gasum Umeå, Tegelslagarvägen 25;63.854339696146944;20.34970562395421;square_truck_rgb.svg;Umeå;Sweden;se
Gasum Västerås, Speditörsgatan 1;59.59437022400698;16.43725509003971;square_truck_rgb.svg;Västerås;Sweden;se
Circle K Älvsjö, Varuvägen 2-10;59.27146264503518;18.00947146497237;truck-partner.svg;Stockholm;Sweden;se
Gasum Örebro, Berglundavägen 7A;59.237292234185325;15.130073965334324;square_truck_rgb.svg;Örebro;Sweden;se
Circle K Berglunda Örebro, Berglundavägen 1B;59.23770793032068;15.121957388010314;truck-partner.svg;Örebro;Sweden;se
Gasum Östersund, Brosslarvägen 3;63.161837899999995;14.7441873;square_truck_rgb.svg;Östersund;Sweden;se
Preem Högdalen, Stallarholmsvägen 4;59.2694654;18.0617027;car-partner.svg;Stockholm;Sweden;se
OKQ8 Danderyd, Enebybergsvägen 2-4;59.4110322;18.0326541;car-partner.svg;Danderyd;Sweden;se
Circle K Veddesta, Veddestavägen 26;59.406806;17.842828;car-partner.svg;Järfälla;Sweden;se
Circle K Järna, Trafikplats Järna;59.087765700000006;17.602356150000006;car-partner.svg;Södertälje kommun;Sweden;se
OK Karlstad, Hagalundsvägen 27 (Våxnäs);59.38416865873769;13.479037551248972;car-partner.svg;Karlstad;Sweden;se
Shell Kista, Danmarksgatan 54;59.406701;17.93734027398287;car-partner.svg;Stockholm;Sweden;se
Circle K Nyköping, Östra Rundgatan 25;58.7574672;17.0325225;car-partner.svg;Nyköping;Sweden;se
Circle K Nynäsvägen, Nynäsvägen/Bogårdsvägen (Riksväg 73/Sköndal);59.2633577;18.0993717;car-partner.svg;Stockholm;Sweden;se
Gasum Skövde, Mejselvägen 10;58.39310274075728;13.887884005353888;square_car_rgb.svg;Skövde;Sweden;se
Circle K Hammarby Sjöstad, Hammarby Fabriksväg 51;59.3012508;18.1010588;car-partner.svg;Stockholm;Sweden;se
Cirkle K Frescati, Roslagsvägen;59.3609882;18.0576769;car-partner.svg;Stockholm;Sweden;se
ST1 Frihamnen, Tullvaktsvägen (Frihamnsporten);59.3399903;18.1146119;car-partner.svg;Stockholm;Sweden;se
Circle K Arlanda Flygplats, Pilotvägen 2;59.6467921;17.937044334194475;car-partner.svg;Sigtuna kommun;Sweden;se
Circle K Gärde Sundsvall, Värdshusbacken 6;62.413502199999996;17.347965023844097;car-partner.svg;Sundsvall;Sweden;se
Preem Landsvägsallén Sundsvall, Landsvägsallén 14;62.3853358;17.3256021;car-partner.svg;Sundsvall;Sweden;se
Preem Moraberg Södertälje, Klastorpsvägen 2;59.2005156;17.661384;car-partner.svg;Södertälje;Sweden;se
Circle K Täby Galopp, Marknadsvägen 303;59.44758142956729;18.087322355738717;car-partner.svg;Täby;Sweden;se
Gasum Täby Hagby Återvinningsstation, Frestavägen 10;59.47710425;18.004210717510297;square_car_rgb.svg;Täby kommun;Sweden;se
Gasum Umeå, Tegelslagarvägen 25;63.854339696146944;20.34970562395421;square_car_rgb.svg;Umeå;Sweden;se
Circle K Upplands Väsby, Kapellvägen 1;59.51306425;17.920038276179355;car-partner.svg;Upplands Väsby;Sweden;se
Gasum Uppsala, Kuggebrovägen 5;59.84688455;17.667405896518638;square_car_rgb.svg;Uppsala;Sweden;se
Circle K Vintrie Malmö, Ollebovägen 4;55.55593725;12.952443233753677;car-partner.svg;Malmo;Sweden;se
Circle K Älvsjö, Varuvägen 2-10;59.27146264503518;18.00947146497237;car-partner.svg;Stockholm;Sweden;se
Circle K Berglunda Örebro, Berglundavägen 1B;59.23770793032068;15.121957388010314;car-partner.svg;Örebro;Sweden;se
Gasum Gustavsvik Örebro, Gustavsviksvägen 4;59.263800450000005;15.19600744843521;square_car_rgb.svg;Örebro;Sweden;se
Tanka Rejmes Örebro, Bettorpsgatan 4-6;59.2978433;15.2299119;car-partner.svg;Örebro;Sweden;se
Gasum Östersund, Brosslarvägen 3;63.161837899999995;14.7441873;square_car_rgb.svg;Östersund;Sweden;se
Gasum Leirdal, Oslo, Gamle Leirdalsvei 2;59.93669;10.872788;square_truck_rgb.svg;Oslo;Norway;no
Gasum Helsinki Vuosaari, Provianttikatu 6;60.221553;25.175867332126302;square_truck_rgb.svg;Helsinki;Finland;fi
Gasum Jyväskylä Kanavuori, Metsälehmuksentie 9;62.229781608093944;25.915227868920905;square_truck_rgb.svg;Jyväskylä;Finland;fi
Gasum Kuopio, Kranaattikuja 2;62.843959408333305;27.597495989562052;square_truck_rgb.svg;Kuopio;Finland;fi
Gasum Lahti Kujala, Linnaistentie 2;60.9632543;25.7180013;square_truck_rgb.svg;Lahti;Finland;fi
Gasum Lappeenranta Pajarila, Hirsimäenkatu 4;61.052504301621454;28.26280589975325;square_truck_rgb.svg;Lappeenranta;Finland;fi
Gasum Lieto, Eteläkaari 1;60.46716655;22.395937372694323;square_truck_rgb.svg;Lieto;Finland;fi
Gasum Oulu Äimärautio, Terminaalitie 1;64.98655564723795;25.43962430687729;square_truck_rgb.svg;Oulu;Finland;fi
Gasum Seinäjoki Roves, Piirturiväylä 1;62.765334407681486;22.927572776772646;square_truck_rgb.svg;Seinäjoki;Finland;fi
Gasum Turku Satama, Tuontiväylä 2;60.4472745;22.2131762;square_truck_rgb.svg;Turku;Finland;fi
Gasum Vantaa Tuupakka, Tuupakantie 25;60.2932054;24.9131343;square_truck_rgb.svg;Vantaa;Finland;fi
